Наименование;Агент;Широта;Долгота;СуммаПродаж;КоличествоДокументов;ПериодС;ПериодПо
"Супермаркет "Оптовик" г. Махачкала. ул. Газопроводная 1а т. 8988 438-30-16 (рядом с автостанцией)";"ТП С Айдынбеков Абдулсалам (С/М)";42.952122;47.532358;499 221.00;9;2026-02-01;2026-05-31
"Агабеков МУСА,  г. Дербент, ул. Самарская 78А,  т. 8 928 510 39 59";"ТП Фейзуллаев Фариз (опт)";42.053015;48.286645;102 192.00;4;2026-02-01;2026-05-31
"Алискер г.Дербент 8 928 534 34 43 (рядом с постом)";"ТП Фейзуллаев Фариз (опт)";42.079780;48.262912;1 025 950.00;10;2026-02-01;2026-05-31
"Амиров Мурад г.Дербент с.Падар (возле больницы)";"ТП Фейзуллаев Фариз (опт)";42.202143;48.061247;177 402.00;19;2026-02-01;2026-05-31
"Асланов Эльданиз г.Дербент "Азбука вкуса" переулок Гаджиева ";"ТП Фейзуллаев Фариз (опт)";42.054083;48.287887;3 220 987.00;93;2026-02-01;2026-05-31
"База "Биг Майдан",с.Каякент, Федеральная трасса,  т.8-963-415-88-58  Рашид";"ТП Фейзуллаев Фариз (опт)";42.371162;47.950493;1 922 334.00;31;2026-02-01;2026-05-31
"Байрам т. 8 964 051 90 91 г.Дербент. Северный р-к (ниже старой точки Регины)";"ТП Фейзуллаев Фариз (опт)";42.068637;48.287078;305 625.00;5;2026-02-01;2026-05-31
"Гастроном "Ассорти", с. Совхоз Алиева, (п.Мамаедкала) т. 8 903 477 40 33";"ТП Фейзуллаев Фариз (опт)";42.170083;48.121962;99 846.00;10;2026-02-01;2026-05-31
"Гастроном "Баракат", Дербентский р-н, с.Сабнова,  т. 8 929 875 01 08";"ТП Фейзуллаев Фариз (опт)";42.084837;48.247692;249 746.00;14;2026-02-01;2026-05-31
"Гастроном "Виктория, с."Деличабан", ул. Дербентская ( до Падара) 8 909 480 68 61  Адыль";"ТП Фейзуллаев Фариз (опт)";42.201041;48.092130;136 015.00;19;2026-02-01;2026-05-31
"Гастроном "Гранат", г.Даг Огни, ул.Чкалова 7,т..8989-874-42-31 Сабина";"ТП Фейзуллаев Фариз (опт)";42.112623;48.181892;2 191 194.00;18;2026-02-01;2026-05-31
"Гастроном "Мясо", г. Дербент, ул. Гоголя (напротив университета) т. 8 938 785 07 07  Фикрет ";"ТП Фейзуллаев Фариз (опт)";42.065382;48.284482;216 131.00;10;2026-02-01;2026-05-31
"Гастроном "Оптовик" , Каякент (от кольца вниз) т. 8960 409 77 71  Ислам";"ТП Фейзуллаев Фариз (опт)";42.380445;47.950117;1 575 930.00;34;2026-02-01;2026-05-31
"Гастроном "Раисат", г.Дербент, Северный рынок (возле Феди)   т. 8-928-585-68-68";"ТП Фейзуллаев Фариз (опт)";42.087567;48.243372;317 583.00;17;2026-02-01;2026-05-31
"Гастроном "Экофрукт", г.Дербент, ул.Хизриева  т. 8 928 875 44 43  Мурад";"ТП Фейзуллаев Фариз (опт)";42.088818;48.289447;320 110.00;16;2026-02-01;2026-05-31
"Гастроном Оптовый "Гранат", г.Даг.Огни, переулок Ильича  т. 8 989 874 42 31";"ТП Фейзуллаев Фариз (опт)";42.116410;48.189853;1 904 678.00;15;2026-02-01;2026-05-31
"Закиряев Казбек г.Дербент ул.Ленина 88 (возле Эльмана)";"ТП Фейзуллаев Фариз (опт)";42.056555;48.290562;519 722.00;17;2026-02-01;2026-05-31
"Имран, г.Дербент,  Северный рынок (Гулистан),  т. 8 928 598 79 97";"ТП Фейзуллаев Фариз (опт)";42.067710;48.286397;347 318.00;16;2026-02-01;2026-05-31
"ИП Ахмедов Акиф Р. Людмила Оптовый рынок "Северный" г.Дербент (рядом с Кямраном) 89285797393  Акиф";"ТП Фейзуллаев Фариз (опт)";42.067977;48.287702;102 227.00;7;2026-02-01;2026-05-31
"ИП Гулиев Тельман Г.,Северный рынок (рядом с Вадимом) г.Дербент 8 928 530 02 79";"ТП Фейзуллаев Фариз (опт)";42.068207;48.285783;197 091.00;24;2026-02-01;2026-05-31
"ИП Насимов Мататья Я.  г.Дербент 8928-580 11 71  (Т\Д "Мир")";"ТП Фейзуллаев Фариз (опт)";42.081213;48.262165;148 360.00;3;2026-02-01;2026-05-31
"ИП Разаханов Т.М     Земфира Северный рынок г.Дербент 8 963 415 20 39  Энвер 8 928 509 66 20";"ТП Фейзуллаев Фариз (опт)";42.068214;48.288506;371 479.00;21;2026-02-01;2026-05-31
"Кафе-бистро "Кинза", г.Дербент, ул.Агасиева 22, ТЦ "Россия", 3-ий этаж  т. 8 938 782 23 33";"ТП Фейзуллаев Фариз (опт)";42.066652;48.287052;45 100.00;3;2026-02-01;2026-05-31
"Кулиев МУСТАФА,  г. Дербент, ул. Самарская 78А,  т. 8 989 887 66 61";"ТП Фейзуллаев Фариз (опт)";42.053262;48.286707;237 537.00;7;2026-02-01;2026-05-31
"Лена г.Дербент р-к на Ленина";"ТП Фейзуллаев Фариз (опт)";42.055768;48.288881;70 454.00;7;2026-02-01;2026-05-31
"Магазин "Волна"г. Дербент ул.Площадь свободы 4, 8 928 832 99 02 Самир";"ТП Фейзуллаев Фариз (опт)";42.057040;48.289775;1 519 937.00;43;2026-02-01;2026-05-31
"Магазин "Магнат",  ул. 345 Стрелковой Дивизии (возле маг. "Арбуз"), г. Дербент / Бабек - 967 4038001";"ТП Фейзуллаев Фариз (опт)";42.072285;48.292447;253 793.00;9;2026-02-01;2026-05-31
"Магазин "Магнит - плюс", (за мостом) ул. Хандадаша-Тагиева, г. Дербент / Магомед - 928 249 04 71";"ТП Фейзуллаев Фариз (опт)";42.074623;48.299075;339 104.00;15;2026-02-01;2026-05-31
"Магомедов Магомед г.Дербент опт.база "Глобус" 8 928 543 32 32";"ТП Фейзуллаев Фариз (опт)";42.056798;48.290573;865 272.00;21;2026-02-01;2026-05-31
"Магомедова Шуана г.Дербент Верхний рынок (выше Лены)";"ТП Фейзуллаев Фариз (опт)";42.055927;48.287955;271 652.00;6;2026-02-01;2026-05-31
"Мусаев Чингиз,  Магазин "Сластена",  г.Дербент,  Верхний рынок ";"ТП Фейзуллаев Фариз (опт)";42.056509;48.289034;1 830 471.00;54;2026-02-01;2026-05-31
"НАЛИЧКА! Гастроном "Парус",с.Ново-Вихри т. 8 964 004 23 10 Руслан";"ТП Фейзуллаев Фариз (опт)";42.302133;47.987977;732 166.00;19;2026-02-01;2026-05-31
"Наметулаев Ровшан, г. Дербент, Северный рынок "Каспий", ул. Автовокзальная 24  т. 8 928 503 32 36";"ТП Фейзуллаев Фариз (опт)";42.068037;48.285590;338 547.00;18;2026-02-01;2026-05-31
"Нарима Рынок "Северный" г.Дербент  8 962 654 19 71";"ТП Фейзуллаев Фариз (опт)";42.068073;48.287802;90 619.00;16;2026-02-01;2026-05-31
"Оптовая база "Бике",г.Дербент (возле Димы "Ассорти")  т.8 999 419 25 53";"ТП Фейзуллаев Фариз (опт)";42.069193;48.286027;461 130.00;14;2026-02-01;2026-05-31
"Оптовая база "Водник",г.Дербент,напротив "Киргу", т.8-928-553-30-05  Тамам";"ТП Фейзуллаев Фариз (опт)";42.030470;48.296553;218 187.00;16;2026-02-01;2026-05-31
"Оптовая База "Журавли" с. Новавихри, г. Дербент / Исмет - 967 931 75 05";"ТП Фейзуллаев Фариз (опт)";42.295998;47.991863;232 082.00;10;2026-02-01;2026-05-31
"Оптовая база "Лидер круп", г.Дербент  ул.Шоссейная 9 (в сторону Беледжи),  т. 8 963 720 00 04  Ислам";"ТП Фейзуллаев Фариз (опт)";42.038247;48.291183;403 249.00;22;2026-02-01;2026-05-31
"Пекарня. с. Деличабан. ул. Дербентская (рядом с гастр. Виктория) т. 8928 532 01 70";"ТП Фейзуллаев Фариз (опт)";42.055147;48.287706;61 536.00;6;2026-02-01;2026-05-31
"Северный Рынок. г. Дербент. ул. Ануширвана (возле "Мир круп" Бахар)  т. 8928 869 76 78 ";"ТП Фейзуллаев Фариз (опт)";42.068720;48.286982;104 556.00;2;2026-02-01;2026-05-31
"Супермаркет "Урвейс", ул.Ленина 89  г. Дербент т. 8 928 553 00 03";"ТП Фейзуллаев Фариз (опт)";42.055269;48.287491;4 848 329.00;58;2026-02-01;2026-05-31
"Торговая база "Магнит" г.Дербент ул.Сальмана т. 8 989 487 09 31 Азиз";"ТП Фейзуллаев Фариз (опт)";42.051487;48.290947;38 579.00;1;2026-02-01;2026-05-31
"Ума г.Дербент (возле Эльмана)";"ТП Фейзуллаев Фариз (опт)";42.055725;48.289095;6 338.00;1;2026-02-01;2026-05-31
"Фарида Оптовый рынок "Северный" г.Дербент  8 928 591 19 81";"ТП Фейзуллаев Фариз (опт)";42.067947;48.287817;30 758.00;3;2026-02-01;2026-05-31
"Халотаев Раджаб г.Дербент (Мамедкала) оптов. база "Пахру"";"ТП Фейзуллаев Фариз (опт)";42.158700;48.106552;126 952.00;9;2026-02-01;2026-05-31
"Эльман г.Дербент (возле Лены) ";"ТП Фейзуллаев Фариз (опт)";42.055500;48.289022;8 320.00;5;2026-02-01;2026-05-31
"Эхтибар, с.Сабнова, ул.Ушакова  (не доезжая до Алискера) т. 8 928 597 14 53";"ТП Фейзуллаев Фариз (опт)";42.084865;48.241813;76 580.00;4;2026-02-01;2026-05-31
"Юсуп, г.Дербент, Северный рынок( Гулистан)   т. 8 928 224 89 24";"ТП Фейзуллаев Фариз (опт)";42.067605;48.286475;1 017 253.00;32;2026-02-01;2026-05-31
" Исламей, СМ "Мега", ул. Эльбрусская, Мурат 8-918-725-00-60";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.668142
;43.440802;12 460.00;1;2026-02-01;2026-05-31
""Супермаркет "Эльбрус", пос. Прогресс, Мухаммад 8-928-084-85-55";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.817967;43.339437;83 651.00;1;2026-02-01;2026-05-31
"ИП Миров А.М. Супермаркет "Оазис", ул. Панаиотти 177, Анета 8-938-701-91-99";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.679628;43.539471;133 350.00;1;2026-02-01;2026-05-31
"Опт-База "Родник", ул. Буденого 95";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.676430
;43.534149;30 696.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" ( Молочный  павильон)  Фатима 8-928-718-19-19";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.651733;43.485141;11 824.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" ( Молочный  павильон) №5  Ася 8-928-711-10-80";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;26 400.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" ( Молочный павильон) №202   Инна 8-963-392-47-15";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;25 200.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" ( Молочный павильон) №217 Ахмед 8-928-254-23-32";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;7 500.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" ( Павильон) №15, Дина 8-928-077-20-03";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;121 700.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" ( Павильон) №27, Света 8-928-718-86-85";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;108 520.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №101, Мария 8-903-492-27-11";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;14 630.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №119к, Фатима тел. 8-928-721-24-47";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;100 360.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №2, Мартин тел. 8-929-884-66-76";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;21 960.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №206, Фатима тел. 8-962-651-17-18";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;111 520.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №211, Анжела тел. 8-963-166-10-69";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;7 260.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №52, Тамара тел. 8-928-693-27-12";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;9 100.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №69 Фатима тел. 8-909-492-69-89";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;10 040.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №7, Анзор тел. 8-909-488-56-55";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;24 390.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 1) №82 Фатима тел. 8-928-712-79-65";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;111 990.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №10 Ратмир тел. 8-962-649-00-08";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;268 160.00;4;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №11к Римма тел. 8-903-426-21-71";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;48 620.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №135. контейнер "Альтмаркет" Казбек";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;100 380.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №141 Аида 8-960-430-55-08";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;57 720.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №142 Жаннет тел. 8-928-693-15-83";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;42 948.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №164  Аксана тел. 8-905-636-87-17";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;94 995.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №166 Рая тел. 8-963-165-00-77";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;182 820.00;4;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №210 тел. 8-928-721-13-34";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;68 490.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №7 Залина тел. 8-960-422-74-75";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;191 590.00;4;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 2) №8 Юзета тел. 8-928-719-68-88";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;135 930.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 5) №24, 8-963-166-74-86";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;190 228.00;4;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 5) №42, Арсен тел. 8-928-721-03-21";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;53 920.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 5) №60, Света";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;67 460.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 5) №64, Амирхан тел. 8-928-702-47-77";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;130 940.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 5) №65а, Анета тел. 8-928-711-18-08";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;45 630.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 6) №19, Фатима тел. 8-928-912-62-97";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;18 370.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 6) №2-3, Ринат тел. 8-938-693-47-07";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.651733;43.485141;26 160.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 6) №28, Руслан";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;135 789.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 6) №33, Зухра тел. 8-928-713-00-20";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;65 660.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 7) №10 Рая тел. 8-928-705-48-41";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;22 840.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 7) №14 Апаева Фая тел. 8-903-496-34-82";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;279 360.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 7) №2 Фатима тел. 8-929-885-71-05";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;48 050.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 7) №4, Фатима тел. 8-928-084-94-11";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;181 166.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 7) №9 Назир тел. 8-928-693-33-19";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;74 708.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Модуль 8) №4, Рустам тел. 8-903-409-12-12";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;4 380.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Мясной Павильон) №77 Аниса тел. 8-928-716-80-89";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;430 020.00;4;2026-02-01;2026-05-31
"Рынок "Дубки" (Холодный  ряд) №15 Аслан ";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;122 640.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Холодный  ряд) №19   тел. 8-928-719-31-30";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;63 440.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №111 Залина тел. 8-960-430-93-78";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;21 600.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №31 Мая тел. 8-928-713-07-42";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;214 540.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №35 Аминат тел. 8-928-694-28-61";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;50 198.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №38 Рустам тел. 8-928-707-92-22";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;99 960.00;2;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №43 Галя  тел. 8-928-705-11-77";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;14 600.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №48 Аслан тел. 8-928-081-13-73";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;32 380.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №50  Марианна тел. 8-962-653-75-99";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;27 360.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №7  Вадик ";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;6 840.00;1;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №9 Аслан тел. 8-960-426-46-42";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;306 850.00;3;2026-02-01;2026-05-31
"Рынок "Дубки" (Чеченский ряд) №97 Лейля 8-961-294-74-92";"ТПР  КБР Гамидулаев Тимур (по-княжески)";43.485141;43.651733;17 540.00;1;2026-02-01;2026-05-31
""Кофе с собой", г. Дербент, ул. Агасиева 22 (напротв ТЦ "Дербент")   т. 8 928 060 42 82";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.066998;48.288908;44 156.00;2;2026-02-01;2026-05-31
"Выпечка "Сладкий Рай" ул. Калинина 11, г. Даг Огни";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.112726;48.182150;80 446.00;5;2026-02-01;2026-05-31
"Гастроном " Ананас" Кайтагский р-н с. Маджалис ул.Алисултанова 96 8-960-412-20-55 Бурлият";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.121160;47.831203;159 296.00;12;2026-02-01;2026-05-31
"Гастроном " Арадеш " Кайтакский р-н с . Маджалис ул. Хунгиянская 112 т. 8-967-931-00-05 Алибхан";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.103771;47.807711;37 778.00;2;2026-02-01;2026-05-31
"Гастроном " Арсен" Кайтагский р-н с. Маджалис ул Поселковая 48 т. 8-961-838-88-56";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.137995;47.858780;24 099.00;3;2026-02-01;2026-05-31
"Гастроном " Баракат" Кайтагский р-н с. Маджалис ул.12 т.8-909-481-32-61 Сарият";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.119059;47.831814;245 765.00;9;2026-02-01;2026-05-31
"Гастроном " Груша " Кайтагский р-н с.Маджалис ул. Поселковая 48 т. 8-903-477-50-54  Абдулла";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.138251;47.860879;20 269.00;3;2026-02-01;2026-05-31
"Гастроном ""Молодёжный",  г.Даг.Огни, ул. Г.Шемелёво 17   т. 8-967-392-02-77  Заира";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.116428;48.187733;118 916.00;11;2026-02-01;2026-05-31
"Гастроном "013" г.Дербент ул.Кырхляр-Капы 4 т.8928 224 20 02 Имран";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.067025;48.277658;17 244.00;2;2026-02-01;2026-05-31
"Гастроном "05", г.Дербент, ул.Петровская 2  т. 8 928 808 61 43 ";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.081185;48.273375;46 931.00;4;2026-02-01;2026-05-31
"Гастроном "13-ый Район", г.Даг.Огни, ул Нахимова 1  т. 8-964-024-78-07  Бике";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.112625;48.210333;206 234.00;10;2026-02-01;2026-05-31
"Гастроном "16" г.Дербент ул.г. Саидова 16";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.076668;48.290413;40 739.00;3;2026-02-01;2026-05-31
"Гастроном "555", г.Даг.Огни, ул.Тахо-Годи 1  т. 8 988 429 24 21  Зарема";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.087478;48.276918;89 418.00;11;2026-02-01;2026-05-31
"Гастроном "555", Кайтагский р-н с.Маджалис ул.Хунгиянская 92 т.8928 678 58 97 ";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.108834;47.811885;224 989.00;15;2026-02-01;2026-05-31
"Гастроном "777",  Кайтагский р-н (дальше Маджалиса в сторону Уркараха) т.8967 939 51 30 Сиражудин ";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.066022;48.294054;100 561.00;6;2026-02-01;2026-05-31
"Гастроном "KVRT", г. Дербент, ул. 345 ДСД 19  т. 8 967 942 86 41";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.074790;48.291118;70 957.00;7;2026-02-01;2026-05-31
"Гастроном "Анара", г.Даг.Огни, ул. Мусы Манарова  т. 8 903 480 18 52";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.108699;48.202847;215 252.00;10;2026-02-01;2026-05-31
"Гастроном "Апельсин" Кайтагкский р-н с. Маджалис ул. Санчинская 22 т. 8-960-411-52-51 Нариман";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.129456;47.835544;85 591.00;5;2026-02-01;2026-05-31
"Гастроном "Арраян" Даг Огни ул. Чернышевского 18 т. 8964 004 88 24 Гульферез";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.108490;48.198187;6 502.00;1;2026-02-01;2026-05-31
"Гастроном "Арсен" г.Дербент ул.Приморская 5";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.083936;48.292944;83 683.00;9;2026-02-01;2026-05-31
"Гастроном "Арчуг", г.Дербент, ул.Фермерская (возле Жданова)  т. 8 906 480 75 34";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.080202;48.272901;56 227.00;7;2026-02-01;2026-05-31
"Гастроном "Аслан", г. Дербент, ул. Хизроева 1  т. 8 928 056 52 19 Эльмира";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.067588;48.290404;8 201.00;1;2026-02-01;2026-05-31
"Гастроном "Ассорти" с.Геджух  ул.Марии победы д.15, т..8963-374-31-61 Имарет";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.129302;48.071427;143 250.00;12;2026-02-01;2026-05-31
"Гастроном "Аттаба" Фед.трасса. Ново вихри у заправки 8 903 499 48 71";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.500746;47.900934;36 055.00;3;2026-02-01;2026-05-31
"Гастроном "Ашан" пос.Мамедкала т.8-906-447-18-98";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.167406;48.116048;252 337.00;14;2026-02-01;2026-05-31
"Гастроном "Баракат", пос.Мамедкала, ул.Горького 22  т. 8-964-011-10-71";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.171122;48.118663;328 950.00;11;2026-02-01;2026-05-31
"Гастроном "Баракат",г.Дербент,ул.Тагиева,33Е  т.8-928-520-15-20";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.085840;48.291030;671 676.00;17;2026-02-01;2026-05-31
"Гастроном "Вегас" федеральная трасса г.Даг огни ";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.115232;48.175192;28 678.00;3;2026-02-01;2026-05-31
"Гастроном "Вкусный уголок" пос.Маджалис Кайтагский р-н ул.Поселковая 50 т.8903 477 45 60 Сакинат";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.138312;47.861174;105 531.00;7;2026-02-01;2026-05-31
"Гастроном "Гермес", г. Дербент,  ул. Оскара 26  т. 8 928 981 81 88  Эльвира";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.069979;48.289848;72 089.00;6;2026-02-01;2026-05-31
"Гастроном "Горец" Кайтагский р-н с. Родниковое ул. Шоссейная 23 т. 8-929-870-81-41 Раджаб";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.150410;47.948968;140 441.00;13;2026-02-01;2026-05-31
"Гастроном "Дружба" р. Каякентский с. Дружба ул. Кооперативная 3 т. 8967 399 22 55 ";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.241440;48.005303;8 461.00;1;2026-02-01;2026-05-31
"Гастроном "Дубурлан" Кайтагский р-н с.Маджалис ул.Хунгиянская (после жемчужина) т.8965 566 66 32 Таг";"ТПР Абумуслимов Зияудин (нд - Дербент)";42.105209;47.808456;82 262.00;6;2026-02-01;2026-05-31
